nome,num_files,lines_added,lines_deleted,analysis_time_hours,description_length,num_participants,num_comments_total
codecrafters-io/build-your-own-x,2,117,0,93.49,0,1,0
freeCodeCamp/freeCodeCamp,2225,10732,20633,6342.69,1077,4,30
sindresorhus/awesome,2,1,2,16.04,8213,2,0
EbookFoundation/free-programming-books,16,861,10,16.56,1370,1,0
public-apis/public-apis,2,347,248,1097.95,902,4,0
kamranahmedse/developer-roadmap,201,1391,202,433.23,341,1,0
jwasham/coding-interview-university,3,3184,0,13378.81,6,1,0
donnemartin/system-design-primer,245,14651,4130,233.45,1707,1,0
996icu/996.ICU,6,1,0,2494.03,0,1,0
vinta/awesome-python,16,2426,1312,48470.38,134,2,0
awesome-selfhosted/awesome-selfhosted,6,8,70,349.16,239,2,0
practical-tutorials/project-based-learning,1,1,0,91.83,652,1,0
facebook/react,56,233,253,73.81,66,2,4
TheAlgorithms/Python,16,33,32,40.18,1524,3,0
vuejs/vue,943,84848,181506,13.19,1275,1,0
ossu/computer-science,11,62,4,286.49,837,1,0
torvalds/linux,7641,3042861,24549,102485.16,0,1,0
trekhleb/javascript-algorithms,655,515,341,9407.26,1006,1,0
tensorflow/tensorflow,50,470,298,717.54,237,1,0
trimstray/the-book-of-secret-knowledge,3,5,3,14697.73,244,2,0
getify/You-Dont-Know-JS,2,3,3,44070.54,1105,1,0
CyC2018/CS-Notes,6,65,0,165.79,53,1,0
ohmyzsh/ohmyzsh,4,236,0,5519.71,780,1,0
Significant-Gravitas/AutoGPT,71,3679,710,531.44,3130,3,8
microsoft/vscode,5,13,16,1.54,55,4,2
twbs/bootstrap,345,9095,73880,199.42,2968,1,0
jackfrued/Python-100-Days,22,163,340,45228.86,21,1,0
flutter/flutter,21,1119,69,43.78,2764,2,6
github/gitignore,14,110,110,13.96,544,2,0
jlevy/the-art-of-command-line,19,642,18,8561.37,0,2,0
AUTOMATIC1111/stable-diffusion-webui,4,7,4,2455.59,680,1,0
avelino/awesome-go,2,5,21,65.88,4047,1,0
ollama/ollama,57,3274,3805,865.7,978,2,63
Snailclimb/JavaGuide,10,231,231,1225.94,55,2,0
airbnb/javascript,6,83,3,1.22,105,1,0
huggingface/transformers,497,1154,8688,187.18,154,3,4
n8n-io/n8n,435,1583,671,44.73,896,4,6
ytdl-org/youtube-dl,11,1430,0,144.73,2361,1,0
f/awesome-chatgpt-prompts,4,324,89,4.17,895,1,0
vercel/next.js,121,8676,5255,3.68,224,2,0
yangshun/tech-interview-handbook,11,11,11,20.44,30,2,0
golang/go,39,178,50,273.83,2397,2,0
labuladong/fucking-algorithm,2,4,0,37.76,308,1,0
yt-dlp/yt-dlp,14,38,3,547.32,2209,6,12
Genymobile/scrcpy,43,789,683,477.92,2957,1,0
langflow-ai/langflow,182,177,232,1.32,1421,2,6
Chalarangelo/30-seconds-of-code,46,574,505,301.65,18288,1,0
microsoft/PowerToys,70,6098,898,191.13,7676,5,80
facebook/react-native,37,780,30,794.34,1357,1,0
electron/electron,129,1851,869,36.63,87,2,0
kubernetes/kubernetes,8123,614246,414417,3961.91,3450,4,2
langchain-ai/langchain,274,4287,2790,70.51,34,2,0
krahets/hello-algo,79,4588,0,592.33,988,2,10
justjavac/free-programming-books-zh_CN,2,18,18,6978.25,54,1,0
langgenius/dify,37,75,0,5.36,245,2,0
ripienaar/free-for-dev,1,1,0,6.86,1547,1,0
nodejs/node,565,12359,6867,36.68,15010,2,0
d3/d3,18,25,25,585.52,29,2,0
open-webui/open-webui,186,11153,2803,391.23,0,2,2
mrdoob/three.js,150,2038,720,2.91,0,1,0
excalidraw/excalidraw,48,860,851,2991.12,2246,1,0
axios/axios,18,5,16755,126.7,17,2,0
rust-lang/rust,47,499,161,6.19,634,1,0
microsoft/TypeScript,5766,23240,23144,96.48,234,5,4
denoland/deno,59,679,1313,1.66,0,2,4
goldbergyoni/nodebestpractices,201,3273,3333,646.29,65,1,0
facebook/create-react-app,228,1426,1162,24489.13,197,1,0
godotengine/godot,53,229,105,437.55,993,4,40
microsoft/generative-ai-for-beginners,48,2529,2416,5.95,577,1,0
microsoft/terminal,304,303,303,117.49,376,4,0
deepseek-ai/DeepSeek-V3,19,0,2260,302.78,0,1,0
fatedier/frp,62,1015,524,632.95,407,1,0
rustdesk/rustdesk,10,14,14,3078.94,19,2,8
papers-we-love/papers-we-love,9,19,1,4849.34,1094,2,0
angular/angular,35,68,68,1.72,888,2,0
Hack-with-Github/Awesome-Hacking,2,3,1,320.79,52,3,0
iptv-org/iptv,23,72,214,6.74,49,3,10
tauri-apps/tauri,21,68,70,115.29,3010,1,0
mui/material-ui,65,1389,4651,2.09,434,1,0
ant-design/ant-design,213,801,992,72.23,2165,6,10
shadcn-ui/ui,690,2693,1024,155.96,351,1,0
Anduin2017/HowToCook,86,6946,0,298.12,412,1,0
ryanmcdermott/clean-code-javascript,2,78,81,190.75,0,1,0
nvbn/thefuck,413,1098,1098,3.84,0,1,0
pytorch/pytorch,74,154,121,20.82,259,2,0
neovim/neovim,39,13,2686,57.98,312,1,0
mtdvio/every-programmer-should-know,1,3,2,9934.64,0,3,0
iluwatar/java-design-patterns,40,1248,37,1277.9,1023,3,18
puppeteer/puppeteer,624,405,182,95.15,2528,2,0
microsoft/Web-Dev-For-Beginners,675,26198,0,2.39,577,1,0
tailwindlabs/tailwindcss,49,10163,1721,191.64,5031,3,26
fastapi/fastapi,74,4117,3845,45.63,980,2,0
PanJiaChen/vue-element-admin,20,104,57,961.13,233,1,0
comfyanonymous/ComfyUI,5,131,17,268.15,992,2,2
supabase/supabase,41,596,774,6218.83,55,1,0
jaywcjlove/awesome-mac,3,24,22,17.98,1257,3,4
openai/whisper,31,199,0,146.22,1287,1,0
storybookjs/storybook,195,8261,4781,433.56,7186,3,63
2dust/v2rayN,22,1217,33,22.66,178,2,8
nvm-sh/nvm,19,0,1490,4.4,7,2,0
ggml-org/llama.cpp,288,25752,11505,1344.75,19112,3,10
florinpop17/app-ideas,2,38,0,16341.44,0,1,0
gin-gonic/gin,3,4,4,965.53,14693,1,0
ChatGPTNextWeb/NextChat,33,796,9,82.53,2015,2,6
bitcoin/bitcoin,53,14857,4680,47.9,488,3,0
django/django,14,292,224,5085.59,156,3,40
opencv/opencv,294,14712,3578,1513.13,1173,2,8
sveltejs/svelte,181,2638,901,165.89,713,2,80
gohugoio/hugo,8,155,3,20.98,0,1,0
gothinkster/realworld,4,26,8,102.81,497,1,0
mermaid-js/mermaid,116,7788,1191,7.32,0,1,0
animate-css/animate.css,25,8713,634,2635.27,1336,1,0
laravel/laravel,65,42283,11,19.39,0,1,0
home-assistant/core,1836,117153,21788,173.57,169,4,0
macrozheng/mall,121,249,156,5104.86,14,1,0
3b1b/manim,18,68,39,708.71,1838,1,0
oven-sh/bun,74,1847,1729,13.92,103,2,80
tonsky/FiraCode,30,401,69,89.98,4048,2,4
microsoft/markitdown,26,25,69,38.59,644,1,0
bregman-arie/devops-exercises,11,125,4069,1218.01,0,1,0
spring-projects/spring-boot,493,776,502,66.83,1182,1,2
doocs/advanced-java,10,70,17,697.0,0,1,0
MunGell/awesome-for-beginners,1,7,0,41.52,124,1,0
immich-app/immich,67,297,3133,335.52,0,2,0
microsoft/ML-For-Beginners,1200,228820,2692,2.83,577,1,0
microsoft/playwright,35,251,264,1227.92,275,2,16
google-gemini/gemini-cli,37,1256,623,50.18,1395,3,80
DopplerHQ/awesome-interview-questions,2,3,1,12730.03,66,2,0
tensorflow/models,80,330,346,111.06,63,1,0
nomic-ai/gpt4all,52,261,148,96.02,861,2,0
syncthing/syncthing,62,340,340,16.57,546,1,0
anuraghazra/github-readme-stats,8,157,303,65.02,318,4,2
clash-verge-rev/clash-verge-rev,98,999,949,2053.45,225,1,0
ruanyf/weekly,66,84,84,20.89,45,1,0
netdata/netdata,353,106949,127,2297.85,54,1,0
FortAwesome/Font-Awesome,13999,602361,583582,21.01,0,1,0
louislam/uptime-kuma,75,627,80,309.82,2037,2,20
vitejs/vite,34,653,511,29.14,57975,2,0
typicode/json-server,67,4241,25705,143.26,0,1,0
elastic/elasticsearch,46,2906,138,477.69,1811,1,0
hoppscotch/hoppscotch,77,2688,765,231.68,641,4,67
unionlabs/union,334,25,31856,167.65,0,2,0
rasbt/LLMs-from-scratch,15,389,91,1.54,0,1,0
junegunn/fzf,16,319,240,76.91,1918,2,18
coder/code-server,727,79413,30548,20.75,2591,3,2
sdmg15/Best-websites-a-programmer-should-visit,2,2,0,8.79,576,1,0
hacksider/Deep-Live-Cam,6,132,14,1.52,767,2,10
vuejs/awesome-vue,1,1,0,45.85,1947,1,0
nestjs/nest,37,73,73,6.53,7108,1,0
d2l-ai/d2l-zh,114,12144,1039,1884.44,0,5,80
punkpeye/awesome-mcp-servers,7,7,0,23.2,82,1,0
thedaviddias/Front-End-Checklist,9,119,52,2.09,101,1,0
redis/redis,48,85,158,694.93,268,2,32
Shubhamsaboo/awesome-llm-apps,436,598934,0,184.57,497,1,0
ventoy/Ventoy,723,7062,7063,19335.71,0,1,0
abi/screenshot-to-code,102,9921,1337,9027.53,0,1,0
browser-use/browser-use,178,14670,5894,311.28,710,2,80
moby/moby,77,1504,943,6.53,252,3,6
pallets/flask,36,779,1007,169.01,3517,1,0
swisskyrepo/PayloadsAllTheThings,15,1210,3,205.51,885,2,0
enaqx/awesome-react,1,3,2,27.73,330,1,0
grafana/grafana,61,181,178,29.29,64,2,2
tesseract-ocr/tesseract,49,2900,3440,20.51,866,2,20
josephmisiti/awesome-machine-learning,2,44,20,484.36,39,1,0
Developer-Y/cs-video-courses,1,1,1,16.16,0,1,0
strapi/strapi,132,3512,2184,2305.99,332,3,80
hakimel/reveal.js,17,33,76,93990.83,1296,1,0
modelcontextprotocol/servers,4,34,1,50.96,3003,3,24
binary-husky/gpt_academic,83,620,413,597.64,1838,1,0
protocolbuffers/protobuf,29,75,64,3.18,22,1,0
sherlock-project/sherlock,20,2896,2894,324.86,426,2,0
python/cpython,34,320,29,496.51,994,8,40
swiftlang/swift,99,1127,248,524.61,418,1,0
astral-sh/uv,37,83,81,9.25,245,3,8
base/node,7,320,17,95.47,488,3,28
ocornut/imgui,11,29,29,14.86,332,1,0
awesomedata/awesome-public-datasets,2,1509,467,39527.92,36,1,0
apache/superset,15,695,17,1172.75,2590,3,28
localsend/localsend,171,31551,1208,4430.69,12,2,0
openai/openai-cookbook,178,1503,1608,245.14,3239,4,10
Stirling-Tools/Stirling-PDF,44,90,113,26.63,1805,4,0
expressjs/express,5,628,2,20.37,2116,1,0
PKUFlyingPig/cs-self-learning,164,5277,5219,19763.26,32,1,0
twitter/the-algorithm,13791,1,630434,14640.16,303,1,0
obsproject/obs-studio,405,4300,1636,50.74,828,2,0
caddyserver/caddy,33,148,213,1659.58,113,3,32
fffaraz/awesome-cpp,1,1,0,12.71,62,1,0
ansible/ansible,9,43,13,283.8,506,2,6
chartjs/Chart.js,13,395,42,36.93,1211,3,4
zed-industries/zed,14,893,194,7.41,1428,1,0
Eugeny/tabby,31,24362,17442,838.33,275,1,0
lobehub/lobe-chat,230,13451,1199,1750.82,839,3,2
nektos/act,17,461,426,4328.8,133,2,4
AppFlowy-IO/AppFlowy,133,3674,1615,96.17,2759,2,0
danielmiessler/SecLists,69,60588,45665,36.17,601,1,0
leonardomso/33-js-concepts,9,316,0,45.97,18,1,0
webpack/webpack,45,1095,260,22.22,624,1,0
infiniflow/ragflow,202,7929,4112,1.28,122,1,0
jesseduffield/lazygit,36,364,155,112.37,1298,1,0
xtekky/gpt4free,68,1280,4209,71.42,5427,1,0
lydiahallie/javascript-questions,20,5168,1,448.62,235,2,0
apache/echarts,134,16886,1938,10493.37,2655,3,66
juliangarnier/anime,11,26,50,28034.99,75,1,0
All-Hands-AI/OpenHands,110,838,616,17.82,957,1,0
kelseyhightower/nocode,11,529,0,438.64,0,1,0
TheAlgorithms/Java,4,348,0,4.57,1158,2,0
scikit-learn/scikit-learn,1435,244686,114241,44033.47,947,1,0
chrislgarry/Apollo-11,66,447,0,17.81,298,2,0
keras-team/keras,20,1231,325,196.93,7136,4,71
labmlai/annotated_deep_learning_paper_implementations,242,119976,43,33.89,0,1,0
prakhar1989/awesome-courses,2,20,20,523.85,11,1,0
bradtraversy/design-resources-for-developers,1,1,0,468.08,281,1,0
sindresorhus/awesome-nodejs,1,1,0,9280.36,2788,1,0
resume/resume.github.com,10,266,261,3.32,0,1,0
socketio/socket.io,103,2897,27771,421.57,530,1,0
dair-ai/Prompt-Engineering-Guide,51,1968,4874,7533.94,0,1,0
FuelLabs/sway,108,366,499,2.76,1372,3,0
facebook/docusaurus,157,22540,239,72.37,182,1,0
reduxjs/redux,230,2,145211,24810.35,668,1,0
lodash/lodash,849,38358,139839,5089.16,330,1,0
NationalSecurityAgency/ghidra,16,86,66,162.69,630,1,0
firecrawl/firecrawl,24,3311,80,70.9,987,3,14
atom/atom,34,2640,1678,258.35,6032,1,0
localstack/localstack,25,653,88,38.45,4842,2,12
prometheus/prometheus,17,1689,589,3838.87,1883,4,80
h5bp/Front-end-Developer-Interview-Questions,6,1495,90,11250.67,498,1,0
openinterpreter/open-interpreter,250,0,44927,4.15,862,1,0
alacritty/alacritty,51,121,153,2189.93,209,2,12
rust-lang/rustlings,33,739,439,141.29,134,2,10
ryanoasis/nerd-fonts,19,3,3,6.47,825,1,0
hiyouga/LLaMA-Factory,17,292,210,20.48,241,2,0
jquery/jquery,12,170,46,497.21,2192,3,22
tldr-pages/tldr,7,16,16,21.18,835,3,0
vllm-project/vllm,1645,129755,101379,171.59,6929,3,4
